"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000204852",2277.18058085483,0.655233623351975,0.202426763167695,3.23689226216182,0.00120839023697059,0.0234147499540532,"TCTN1",79600
"ENSG00000075035",3261.23310551277,1.28947648056978,0.398485830264407,3.23594060976817,0.00121242607175738,0.0234767495287806,"WSCD2",9671
"ENSG00000007038",14.885644309441,-2.15046894221076,0.664839828423957,-3.23456695924578,0.00121827350589744,0.023573718280553,"PRSS21",10942
"ENSG00000110328",4128.44255663376,0.949778319567825,0.293813161898641,3.23259282678248,0.00122672273361099,0.0236993606823646,"GALNT18",374378
"ENSG00000120659",21.1598904559825,-2.92138071861814,0.903722031152552,-3.23260982682074,0.00122664974350831,0.0236993606823646,"TNFSF11",8600
"ENSG00000101017",1774.64570811451,-0.585136970928757,0.181019165388966,-3.23245867182869,0.00122729887210735,0.0236993606823646,"CD40",958
"ENSG00000270505",49.1772741220105,-2.36781861464894,0.732760766309279,-3.23136652986351,0.00123199846431032,0.0237737600566604,"IGHV1OR15-1",NA
"ENSG00000115364",1030.54815334189,0.345625476140617,0.106979906987635,3.23075132398988,0.0012346530666544,0.0238086223574558,"MRPL19",9801
"ENSG00000270040",8.64979924070338,-2.04790440993511,0.634096283732106,-3.22964266228109,0.001239450263335,0.0238767822780359,"RP11-416A14.1",NA
"ENSG00000144645",1095.00995870127,-0.797425863964521,0.246916115586401,-3.22954158771984,0.00123988846961486,0.0238767822780359,"OSBPL10",114884
"ENSG00000268913",53.1293381925759,-1.18011648959664,0.36547303418135,-3.22901111497889,0.00124219066792679,0.0239047206191779,NA,NA
"ENSG00000105677",3282.09702982409,0.530244434256581,0.164312002010406,3.22705844837189,0.00125069909485978,0.0240519715660124,"TMEM147",10430
"ENSG00000254272",14.5853265885833,-1.25484033648844,0.388907079091537,-3.22658137110713,0.00125278604519389,0.0240756151888494,"RP11-382J24.2",NA
"ENSG00000136261",2321.87045508087,0.557451408958446,0.172865873168315,3.22476263672744,0.00126077153521561,0.0241959551566977,"BZW2",28969
"ENSG00000228318",2.09577841236799,-2.46895598054542,0.765608374316764,-3.22482885946584,0.00126047994950257,0.0241959551566977,"AP001610.5",NA
"ENSG00000116985",743.151039872513,0.782719573140186,0.24277084650043,3.22410859632933,0.00126365469088443,0.0242018847729141,"BMP8B",656
"ENSG00000169679",109.85314804503,-1.9310391363918,0.598935238660228,-3.22412009136645,0.00126360396569287,0.0242018847729141,"BUB1",699
"ENSG00000107623",1072.28280684121,1.79875016495922,0.557906658105144,3.22410593031536,0.00126366645571436,0.0242018847729141,NA,NA
"ENSG00000106952",205.418083563492,-2.25021489604705,0.698077042211767,-3.22344778581679,0.0012665738717065,0.0242410324443786,"TNFSF8",944
"ENSG00000231187",20.4805274896232,-1.30630795150525,0.405515434931527,-3.22135198559291,0.00127587346419647,0.0244023836881774,"RP11-38L15.3",102724593
